"user","amount"
0x189b2C700bC1f901221C5faA8C57ade2082C7902,0.065
0x750D429D8f379abc509528cBFF2321f905cbAFf2,1.01
0x769c29dBF505EEf85fB83C416d485f09B3b19400,0.005
0x38E7063d6E04b3bFBF9aB7d2900277686B6612D4,0.005
0x23684351BD55ae5A5CffAEa12647bd5815C7Fe2f,0.01
0x7ce38a8967ea362CE1f842E821670E237D429034,0.14
0xD8Bd59a196e04278E7a158fB24E7f740080cd14d,0.01
0xdaf57b900d6c8F9c8eeA64a210FE9736a11CA931,0.01
0x62955c8587e5F547BA5162BDF33279d7c095866D,0.13
0x4dcd2c6e0eD6450D6C07C9091Df5FaD2992538a3,0.365
0x7b989E2F025cDF1b39Ca45CA01f694caE71ffed9,0.03
0x5AB326a31b48faac615927dd7068B53423B32D8c,0.02
0x11fE06f35F98E5099b8B9cbA62F3aBC2db4C56B3,0.12
0x8263D4A5eB22E4301b5a4bB83DDCDc80B741f3E5,0.01
0x4AFC6fAFbe1cd2B4c074107b86d2FB95C4c76abF,0.01
0xe86d4e36124eCc84760CDC2Eb2e0E7C9728C4FF0,0.065
0xB4791Fe4F8AD6206296c4c9d3A39E795b73c3fcF,0.055
0xC6004DCC7694cDA5bbA0e0fCEb33bAD1683Db2Ee,0.195
0x24e1374Ab087D0D616001bF20Ece8aaC4F0d23a8,0.005
0x67Eea7a2e81F7228C98Ea6ddb3BD4C4849A55554,0.31
0x144c02f5370Be541e123Fa5cF9083E30Ab7c5a04,0.07
0x010f79879241cd6cDDFFC67B809CeF8a31Cf6319,0.06
0x96Be56E7c41e2e1F13fCc5b429091e3DBe0C1c5b,0.005
0x942218cBfbB94ee8DAe3b0777FeF979bDAa432Dc,0.02
0xDbCa3a355688Af20711783e1bBd0c720Ce37D080,0.055
0x37Db1629458c7ACd1ECC0b6702AC0C6636341F99,0.005
0x25c277Ae63Eb7662dE9F5Cc7068696bDB97aCdCb,0.07
0x514f3638e8540fAC020Bf52b6225c7D37e367e88,0.01